"X","rbd","cluster","Avg..SIMCE.Lang","Avg..SIMCE.Math","Public","SEP.status","X..Priority.Students","Diff.D1.GPA","Diff.D2.GPA","Diff.D9.GPA","Diff.D10.GPA","simce_math_min_4_D1","simce_math_min_4_D10","simce_math_min_4_D2","simce_math_min_4_D3D8","simce_math_min_4_D9","asistencia_4_D1","asistencia_4_D10","asistencia_4_D2","asistencia_4_D3D8","asistencia_4_D9","asistencia","n_total","n_D1","n_D2","n_D3D8","n_D9","n_D10","simce_math_min_4","min_math_school","min_lang_school","min_math_school_GPA_D1","min_math_school_GPA_D10","min_math_school_GPA_D2","min_math_school_GPA_D3D8","min_math_school_GPA_D9","min_lang_school_GPA_D1","min_lang_school_GPA_D10","min_lang_school_GPA_D2","min_lang_school_GPA_D3D8","min_lang_school_GPA_D9","min_math","min_math_D1","min_math_D2","min_math_D9","min_math_D10","impute_all","impute_pred_min_all","impute_pred_min_decile","impute_no","impute_pred_min_school","impute_pred_min_school_GPA"
1116,9111,2,242,215,1,1,0.595238,0,-0.658054626134315,0,0,203.88,315.63,171.34,134.91,278.56,0.75,1,0.25,0.956521739130435,1,0.864864864864865,37,4,4,23,3,3,134.91,134.91,157.32,203.88,315.63,171.34,134.91,278.56,192.76,262.58,157.32,176.23,287.56,100.93,105.04,106.56,100.93,112.29,199.585135135135,206.884941491552,207.285465550486,215,209.302314053287,211.893982164646
1117,9117,1,253,242,1,1,0.679834,-0.0227156809590047,-0.0897397887781484,0,0,157.46,245.58,196.03,136.02,248.35,0.857142857142857,1,0.833333333333333,0.944444444444444,1,0.934426229508197,61,7,6,36,6,6,136.02,136.02,151.2,157.46,245.58,196.03,136.02,248.35,177.41,227.59,203.66,151.2,264.91,100.93,105.04,106.56,100.93,112.29,232.749508196721,240.387064593315,240.447473449153,242,240.788268984189,241.373857143956
1118,9121,1,223,207,1,1,0.587859,-0.0700056863403923,0,0,0,156.91,243.29,156.91,159.93,220.66,0.5,1,1,0.91304347826087,1,0.897435897435897,39,4,4,23,4,4,156.91,156.91,136.01,NA,243.29,156.91,159.93,220.66,NA,192.76,173.86,136.01,262.55,100.93,105.04,106.56,100.93,112.29,196.121025641026,206.23840993332,206.267920022639,207,206.64035027397,NA
1119,9122,2,229,210,1,1,0.577586,-0.255359090314487,0,0,-0.00367951701270086,220.61,291.49,154.59,154.78,219.92,0.666666666666667,1,1,0.818181818181818,1,0.854545454545454,55,6,6,33,5,5,154.59,154.59,145.61,220.61,291.49,154.59,154.78,219.92,202.09,285.59,145.61,158.18,251.15,100.93,105.04,106.56,100.93,112.29,194.135272727273,206.925114172973,207.043407840854,210,208.43788921174,210.322825070841
1120,9125,1,255,242,1,1,0.417565,0,0,-0.0596390428475239,0,170.58,277,188.63,170.35,259.81,0.9,1,0.777777777777778,0.945454545454545,0.888888888888889,0.921348314606742,89,9,9,54,9,8,170.35,170.35,131.26,170.58,277,188.63,170.35,259.81,167.78,270.7,167.46,131.26,280.17,100.93,105.04,106.56,100.93,112.29,230.904606741573,241.149218899208,241.149218899208,242,241.567884979997,242.10741058627
1121,9127,2,239,232,1,1,0.626866,-0.0725457400642776,-0.106423218061795,-0.211058813585749,0,177.09,292.13,141.09,171.33,221.23,0.8,1,0.8,0.964285714285714,0.75,0.91304347826087,46,5,5,28,4,4,141.09,141.09,185.17,177.09,292.13,141.09,171.33,221.23,200.47,285.01,188.03,185.17,213.02,100.93,105.04,106.56,100.93,112.29,220.602608695652,227.044756054464,227.142291457654,232,228.563048545902,230.317727817524
1122,9131,1,271,287,1,1,0.489177,-0.0116969525275523,0,0,0,192.75,293.5,159.98,213.73,287.67,0.857142857142857,1,1,0.972222222222222,1,0.967741935483871,62,7,7,36,6,6,159.98,159.98,169.1,192.75,293.5,159.98,213.73,287.67,205.22,275.24,213.58,169.1,282.76,100.93,105.04,106.56,100.93,112.29,280.997741935484,286.754271553264,286.759699316558,287,286.832254381123,286.87553121887
1123,9140,1,256,247,0,1,0.487179,-0.106637525059624,0,0,0,181.3,250.14,136,141.92,228.47,0.666666666666667,1,1,1,1,0.962962962962963,54,6,6,32,5,5,136,136,145.93,181.3,250.14,136,141.92,228.47,159.06,284.38,145.93,164.59,202.26,100.93,105.04,106.56,100.93,112.29,241.59,245.269272968282,245.317970771393,247,245.684803857598,246.221546067065
1124,9142,1,271,255,0,1,0.545918,0,0,0,0,142.27,290.44,205.5,210.54,264.36,1,1,1,1,1,1,23,3,3,13,2,2,142.27,142.27,180.49,142.27,290.44,205.5,210.54,264.36,180.49,317.63,206.07,220.31,297.97,100.93,105.04,106.56,100.93,112.29,255,255,255,255,255,255
1125,9144,1,240,254,0,1,0.605206,-0.0760052740357525,-0.0429504871172443,0,0,182.55,281.73,174.1,151.89,255.95,0.833333333333333,1,0.8,0.944444444444444,1,0.928571428571429,56,6,5,36,5,4,151.89,151.89,128.88,182.55,281.73,174.1,151.89,255.95,163.56,268.36,164.25,128.88,266.18,100.93,105.04,106.56,100.93,112.29,243.066428571429,252.166483587587,252.22154334241,254,252.776897100206,253.111746775313
1126,9145,1,269,257,0,0,0.176471,0,0,0,0,222.78,266.03,214.27,196.34,317.24,1,1,1,0.916666666666667,1,0.952380952380952,21,3,2,12,2,2,196.34,196.34,180.14,222.78,266.03,214.27,196.34,317.24,214.99,288.71,247.43,180.14,283.29,100.93,105.04,106.56,100.93,112.29,249.568095238095,257,257,257,257,257
1127,9146,1,300,295,0,1,0.241486,-0.150220958678224,0,0,-0.255249670051618,190.7,330.11,200.73,222.72,268.49,0.75,0.666666666666667,1,1,1,0.948717948717949,39,4,4,24,4,3,190.7,190.7,165.8,190.7,330.11,200.73,222.72,268.49,165.8,339.42,168.19,200.55,325.42,100.93,105.04,106.56,100.93,112.29,285.047692307692,288.199424712731,288.485797566988,295,291.345133186674,294.082391379128
