"","rbd","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","Diff D1 GPA","Diff D2 GPA","Diff D9 GPA","Diff D10 GPA"
"798","25382",1,287,275,0,1,0.462069,0.0430570097764333,0.171539095640183,0.0164467026293278,0.0385908205807209
"799","9788",1,247,238,0,1,0.42439,-0.297716707110405,0.0180341800451279,0.0202284678220749,0.051831409484148
"800","8825",1,311,287,1,1,0.192246,-0.0402902327690806,-0.0746226472514017,0.113761237621307,0.0282534047961235
"801","9810",1,270,271,0,1,0.544592,0.108311456697328,0.0557655346393585,0.0462631514242717,0.0222522086898486
"802","31190",1,238,216,0,1,0.475921,0.139981215120448,0.0602978332266212,-0.125843262895942,0.0453208424647649
"803","8558",1,231,235,1,1,0.469649,0.0351831953525543,0.048950638572375,0.0583169463276864,0.267653434773286
"804","24898",1,276,289,0,1,0.273148,0.0679753510157267,0.0376234289010365,-0.159821600556374,0.253982893079519
"805","10688",2,277,261,1,1,0.662757,-0.413796678185463,-0.193546697050333,0.0429214388132095,0.0157771162192026
"806","9296",1,259,257,1,1,0.495968,-0.198749345839024,-0.17956154315422,0.00838843822479252,0.0167860795557498
"807","25695",1,284,274,0,0,0.060606,-0.100382688244184,0.0744223594003254,0.0443888205289841,0.0432222534219424
"808","24960",1,259,254,0,1,0.618919,0.0781757946312428,-0.200733555981091,-0.035947416673104,0.0537849771976471
"809","25185",1,281,282,0,1,0.345324,0.0928809644494738,0.063459483895983,0.10329857814312,0.0209440298080444
"810","12122",1,255,263,0,1,0.555728,-0.00823544986546043,0.0672504017874599,0.0522652646568086,0.0272672286960813
"811","25926",NA,248,234,0,1,0.530864,NA,NA,NA,NA
"812","10290",1,234,222,1,1,0.688645,0.130140855610371,0.0276192681025713,0.0265659457445144,0.0312134230136871
"813","9888",1,276,267,1,1,0.341317,0.244108394049108,0.0444866584539413,0.046043011035238,0.0291362625360488
"814","24978",1,254,258,0,1,0.577993,0.0978765328062905,0.0268859701156616,0.0465785338878631,0.0615081803003947
"815","9705",2,233,227,1,1,0.747706,0.394128499776125,-0.673978190943599,0.056615777015686,0.0528056792418162
"816","10628",1,292,291,0,0,0.475,0.0927168750762939,0.15923519551754,0.046217260658741,0.046850113272667
"817","8800",1,252,244,0,1,0.422819,0.188113342523575,0.0660356928408146,0.0326964622735977,-0.207680379003286
"818","31378",1,280,289,0,0,0.072569,0.092603548930751,0.0807045021355152,-0.198605291346709,0.032507333556811
"819","10482",2,252,239,0,1,0.591304,-0.911874591310819,-0.287772401769956,0.0176984775066376,0.0354486624399821
"820","25573",1,252,229,0,1,0.732258,-0.0737431155145168,0.0918657199541728,0.0280546170473098,0.0168906661868096
"821","9418",NA,247,230,1,1,0.628,NA,NA,NA,NA
"822","10563",1,259,250,1,1,0.566265,-0.072531873837579,0.0604437431693077,0.0469952553510666,0.0309860024849574
"823","11813",NA,249,259,0,1,0.596026,NA,NA,NA,NA
"824","9175",1,235,237,0,1,0.740741,0.0561878010630608,0.0523257100582123,0.0283545237779618,0.0338146046797434
"825","25475",1,236,240,0,1,0.585127,0.103752354894366,0.0771581117595945,0.0351331473248345,-0.10628029294312
"826","11805",1,245,234,0,1,0.639344,-0.190490667074919,0.037302820533514,0.0188755522668361,0.0442298437654972
"827","10080",2,272,277,1,1,0.76087,-0.598355375075092,-0.607710770815611,0.00696140289306646,0.0640299043059349
"828","8615",1,258,252,0,1,0.318937,-0.0614873075059482,-0.0577784606483248,0.0541775228579839,0.0355771199294499
"829","25230",2,250,215,0,0,0.558559,-0.137773347105831,-0.599441848993301,0.0168087983131409,0.0331784388422967
"830","9947",1,280,274,0,1,0.226205,-0.0306648817929355,0.0780420249700546,0.0368233948946,0.0655109651386738
"831","24717",1,278,279,0,1,0.501634,0.161747524717024,0.014045230170091,0.0227088283002377,0.0250211975574494
"832","31337",2,194,176,0,1,0.882353,-0.462935774624348,0.0568036655584971,0.0106164211034775,0.0032632126410802
"833","9625",1,221,207,1,1,0.8,-0.023600765503943,-0.0327271933257579,0.0390060057242712,0.0589982986450195
"834","25218",1,281,291,0,0,0.196875,0.0771450886847451,-0.0808255330153874,0.0247405938506127,0.0476975521871021
"835","24405",NA,234,215,0,1,0.38125,NA,NA,NA,NA
"836","25206",1,230,246,0,1,0.435897,0.0792080199718476,0.0695262469847997,0.161047652761141,0.0301767180363337
"837","10123",2,268,263,1,1,0.654255,-0.536960140526295,-0.202412901605879,-0.0894539799860546,0.0248172995448113
"838","10455",1,244,248,1,1,0.693642,0.265772477984428,0.091778175830841,0.049886882185936,0.018292680978775
"839","25944",1,273,270,0,0,0.329949,0.0622983422875404,0.0649534910917282,0.0214441463351249,0.0176019338766734
"840","25160",1,243,231,0,0,0.240196,0.0494233878453573,0.0909938395023346,0.0323717638850212,0.0365926520029703
"841","25480",1,283,270,0,0,0.15493,0.0538757681846619,-0.075607482890288,0.0850113601982594,0.0367448580265045
"842","25615",1,244,234,0,1,0.700288,0.110022245177201,0.0296114230155945,0.0798555707931519,0.0347128369808197
"843","9504",1,273,274,0,1,0.350993,0.0653713714679083,0.0395598198686328,0.0259636240883877,0.110832454806024
"844","10758",1,232,227,1,1,0.625683,0.0930374551812808,0.0966945005953312,0.0471721238749367,0.0343506674468518
"845","24443",NA,254,263,1,1,0.710123,NA,NA,NA,NA
"846","10744",1,259,241,0,1,0.528205,0.0767115737994511,0.056670075416565,0.0422116402784983,0.0246632435321807
"847","10401",1,261,302,1,1,0.711572,-0.0778933022572444,0.0865551672875882,0.0445716088347965,0.013693197795323
"848","9103",1,247,233,1,1,0.565684,0.250282656908035,-0.0300390682286686,-0.0426033120495933,0.0349693201780319
"849","10680",1,269,258,1,1,0.533333,0.12702325368921,0.0812378468116125,0.0250741894046466,0.0118219265341759
"850","25927",1,263,255,0,0,0.226316,-0.433607214987278,0.0637892311811448,0.0347487694025039,0.0483406796058019
"851","9293",NA,246,226,1,1,0.677966,NA,NA,NA,NA
"852","9088",1,223,223,1,1,0.68533,-0.310084638473413,0.0634088844060898,0.0594152124361559,0.0485762822628021
"853","10207",1,240,263,1,1,0.663507,0.0543696293532848,0.0357243197287122,0.090214367310206,-0.0334569707512855
"854","12115",1,246,247,0,1,0.586207,0.162759516239166,0.148030931552251,0.02344761505723,0.0380964249372482
"855","24689",1,257,259,0,1,0.575758,0.245555224627256,-0.130923648238182,0.0369579733610154,0.0622926094134648
"856","24730",1,290,281,0,1,0.316129,0.0868593998750051,0.0803555926084518,0.0298408035437266,0.014899935722351
"857","8659",1,258,265,0,1,0.31619,0.0708646189173062,0.0682930229902268,0.0537696291719164,0.0230451518297196
"858","9375",1,224,218,0,1,0.666667,-0.17869724492232,0.107969217896462,0.0381095622777939,0.0398361078898112
"859","10156",1,260,257,0,1,0.58567,0.0612510497570038,-0.0678070037811994,-0.249823494553566,0.0918532706052065
"860","9069",2,245,216,0,1,0.69869,-0.152915938347578,-0.353231817185879,0.0900869661569595,0.0329585471749305
"861","9385",1,288,247,0,1,0.330523,0.114955447514852,0.040448492715756,0.0483546886179183,0.0796297398805619
"862","9718",1,240,229,1,1,0.743697,0.0698173351287842,0.135806598007679,0.0484010371565818,0.0548890537023544
"863","9415",1,248,235,1,1,0.478439,0.177485717654228,0.130525260522962,0.11427334010601,0.163300259709358
"864","10200",1,257,253,1,1,0.53348,0.0140202210041194,0.0711369080841542,0.0537533365488052,0.0328535449504852
"865","9306",2,253,246,1,1,0.741379,-0.864982218742371,-0.771225766539574,0.0197134566307068,0.0295670819282532
"866","20436",1,290,280,0,0,0.1875,0.0845137399435043,-0.159767949730158,0.056329095363617,0.037343458533287
